movieId,polishTitle,originalTitle,year,fullRating,voteCount
9213,Kulisty piorun,Rolling Thunder,1977,6.44645,943
1012,Speed: Niebezpieczna prędkość,Speed,1994,6.78575,137642
139114,Płynące chmury,Ukigumo,1955,7.30909,165
5768,"Ga, ga. Chwała bohaterom","Ga, ga. Chwała bohaterom",1985,7.12906,5571
4982,Uwolnienie,Deliverance,1972,7.14255,10277
10039413,Bestia,La bête,2023,5.87116,2895
848506,Zaułek koszmarów,Nightmare Alley,2021,6.64741,26674
10031772,Mall Stories - Atilla the Grilla,Mall Stories - Atilla the Grilla,2022,4,1
752541,Dzikie łowy,Hunt for the Wilderpeople,2016,7.48207,38426
34355,Punkt zapalny,3-4 x jūgatsu,1990,6.34608,523
184453,"Dwa samochody, jedna noc","Two cars, one night",2003,6.94517,766
34692,Edi,Edi,2002,7.29711,44078
496469,Niepokonani,The Way Back,2010,7.38246,79392
107197,Gdy kobieta wchodzi po schodach,Onna ga kaidan o agaru toki,1960,7.71261,341
668214,Tajemnica Filomeny,Philomena,2013,7.37886,49197
93656,Świat Apu,Apur sansar,1959,8.40238,1009
11500,"W krzywym zwierciadle: Witaj, Święty Mikołaju",Christmas Vacation,1989,7.28931,61079
204199,Boże Narodzenie,Joyeux Noël,2005,7.45507,5041
33006,Futbol z Shaolin,Siu Lam Juk Kau,2001,6.6104,20236
655844,Sąsiedzi,Neighbors,2014,6.06664,124202
3831,Amerykański wilkołak w Londynie,An American Werewolf in London,1981,6.57629,4968
6419,W paszczy szaleństwa,In the Mouth of Madness,1994,7.01207,18805
106977,Napoleon,Napoléon,1927,7.36255,502
322815,Prorok,Un prophète,2009,7.33685,34582
587931,Snowtown,Snowtown,2011,6.73364,4614
1304,Ostatni seans filmowy,The Last Picture Show,1971,7.80798,6963
106414,Zakładnik,Collateral,2004,7.22592,77652
35770,Faust,Faust - Eine deutsche Volkssage,1926,7.83938,2758
391382,Valhalla: Mroczny wojownik,Valhalla Rising,2009,6.17555,24284
1434,Zakręcony,Bedazzled,2000,6.28989,21643
848,Informator,The Insider,1999,7.43175,77818
152536,Kuracja,Kyua,1997,7.45468,4126
3914,Arachnofobia,Arachnophobia,1990,5.99226,11114
221906,Kto kogo stuknął?,Who Killed Who?,1943,6.86207,58
35702,Niewidzialny człowiek,The Invisible Man,1933,7.21271,4499
10030489,Znachor,Znachor,2023,7.46122,99362
32910,Ali G,Ali G Indahouse,2002,6.54859,65282
10022197,Święto ognia,Święto ognia,2023,6.66093,5176
10007167,Pasażerowie nocy,Les passagers de la nuit,2022,6.91534,1949
300980,Chup Chup Ke: Love Meets Confusion Meets Love...,Chup Chup Ke: Love Meets Confusion Meets Love...,2006,6.99639,277
870175,Kos,Kos,2023,7.10631,32743
136123,Piekło,Jigoku,1960,6.33628,339
111959,Zmierzch nad Tokio,Tokyo boshoku,1957,7.65579,337
111954,Późna wiosna,Banshun,1949,7.68576,1693
1111,Konopielka,Konopielka,1981,7.67639,33123
1125,Panny z Wilka,Panny z Wilka,1979,7.32909,13996
476192,Biutiful,Biutiful,2010,7.56099,18961
34665,Buffalo - rocznik 66,Buffalo '66,1998,7.63753,16385
738846,Photon,Photon,2017,7.51899,13453
31554,Alphaville,"Alphaville, une étrange aventure de Lemmy Caution",1965,6.75114,4392
8117,Nieustające wakacje,Permanent Vacation,1980,6.87968,10364
10012260,Bez litości 3. Ostatni rozdział,The Equalizer 3,2023,6.7839,29505
10015975,Filip,Filip,2022,7.03523,37558
8171,Noc na Ziemi,Night on Earth,1991,7.89588,46102
181095,Himiko,Himiko,1974,7,95
10007212,Wulkan miłości,Fire of Love,2022,7.63431,7345
111962,Dzień dobry,Ohayô,1959,7.12563,796
575916,Szpieg,Tinker Tailor Soldier Spy,2011,7.06213,75920
807600,Asako. Dzień i noc,Netemo Sametemo,2018,6.2062,839
132990,"Jedna śpiewa, druga nie","L'Une chante, l'autre pas",1976,7.23967,242
30642,"Wesołych świąt, pułkowniku Lawrence","Merry Christmas, Mr. Lawrence",1983,7.25223,2803
607536,Take Shelter,Take Shelter,2011,6.90628,9283
104118,"Ja, Kuba",Soy Cuba,1964,8.02666,1163
671707,Bone Tomahawk,Bone Tomahawk,2015,6.54498,24243
789293,Kosmiczne maszyny,Blood Machines,2019,5.82067,987
10016719,Pearl,Pearl,2022,6.97777,28425
747808,Dangal,Dangal,2016,7.85955,1958
828302,The Call,Kol,2020,6.82813,7267
143259,Rozkosz,Etsuraku,1965,6.98649,74
606993,Seishun no etsuraku,Seishun no etsuraku,1967,0,0
629409,List do Momo,Momo e no Tegami,2011,7.16899,1219
433650,"4 miesiące, 3 tygodnie i 2 dni","4 luni, 3 săptămâni şi 2 zile",2007,7.41272,26466
9692,Urzeczona,Spellbound,1945,7.48856,5946
31849,Cienie,Shadows,1959,6.84439,1793
783150,Trapped,Trapped,2016,5.71795,39
372906,Panic Mechanic,Panic Mechanic,1996,6.5,30
32020,Cheerleaderka,But I'm a Cheerleader,1999,6.83874,4564
810357,Małe kobietki,Little Women,2019,7.41211,81900
5878,Golem,Golem,1979,7.12536,5839
114743,Czarna rzeka,Kuroi kawa,1957,6.97436,78
36174,Lilja 4-ever,Lilja 4-ever,2002,7.67849,12043
38896,Strumienie miłości,Love Streams,1984,6.21216,872
826497,K.G.F: Chapter 1,K.G.F: Chapter 1,2018,6.25806,31
102466,Operacja "Y" i inne przygody Szurika,Operatsiya Y i drugiye priklyucheniya Shurika,1965,7.20087,687
34856,Wyspa,Seom,2000,7.02013,1987
31299,Bogowie muszą być szaleni,The Gods Must Be Crazy,1980,7.18545,8126
652964,W kręgu miłości,The Broken Circle Breakdown,2012,7.68926,20171
9641,Sok z żuka,Beetle Juice,1988,7.20809,196944
4913,Dni niebios,Days of Heaven,1978,7.20811,7741
117147,Żona lotnika,La femme de l'aviateur,1981,7.20106,378
7338,Gandahar,Gandahar,1988,7.42872,2869
36318,Zielona pożywka,Soylent Green,1973,6.70661,4598
10978,Werdykt,The Verdict,1982,7.45648,6916
603930,Pod skórą,Under the Skin,2013,5.68843,21183
479704,Antychryst,Antichrist,2009,5.74119,64102
10031857,Służka,It Lives Inside,2023,4.48716,1714
195,W pogoni za Amy,Chasing Amy,1997,7.02492,20745
1423,Dogma,Dogma,1999,6.95627,43767
259149,Across the Universe,Across the Universe,2007,7.31561,32797
106128,Kroniki Riddicka,The Chronicles of Riddick,2004,7.29605,115313
411786,Zdarzenie,The Happening,2008,5.29456,53469
803331,Mandy,Mandy,2018,5.99799,16452
338318,Pora umierać,Pora umierać,2007,7.87082,34898
466475,Metro strachu,The Taking of Pelham 1 2 3,2009,6.59076,51435
31892,Doktor Żywago,Doctor Zhivago,1965,7.41775,16675
35041,Cena strachu,Sorcerer,1977,7.3812,3127
214803,Zejście,The Descent,2005,6.32576,79871
119171,Słowo,Ordet,1955,7.73304,2270
1248,Glengarry Glen Ross,Glengarry Glen Ross,1992,7.20146,14018
8427,Ostatni Mohikanin,The Last of the Mohicans,1992,7.59465,104596
674190,Kick-Heart,Kick-Heart,2013,6.80208,96
1204,Krzyżacy,Krzyżacy,1960,6.61168,48251
108356,Cronos,Cronos,1993,5.75573,1744
96393,Chłopiec i jego pies,A Boy and His Dog,1975,6.59062,2560
31008,Dźwięki muzyki,The Sound of Music,1965,7.89569,17026
538,Między piekłem a niebem,What Dreams May Come,1998,7.585,102885
31725,Czarny rycerz,Black Knight,2001,6.21849,17433
30709,Martwe zło,The Evil Dead,1981,6.71831,41087
3933,Armia ciemności,Army of Darkness,1992,7.1494,31286
7773,Miłość blondynki,Lásky jedné plavovlásky,1965,7.31657,9344
1219,Bliskie spotkania III stopnia,Close Encounters of the Third Kind,1977,7.1734,31869
152444,Historia przemocy,A History of Violence,2005,6.95044,28206
876096,Infinity Pool,Infinity Pool,2023,5.76008,11112
959,Częstotliwość,Frequency,2000,7.27723,25971
106269,Interstella 5555,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,7.88781,5553
91325,Czarownica,Häxan,1922,7.73251,4774
5029,W bagnie Los Angeles,Devil in a Blue Dress,1995,6.52443,3459
31714,Z zimną krwią,In Cold Blood,1967,7.68972,3716
161201,Drewniane krzyże,Les croix de bois,1932,7.4186,43
731423,Imigranci,Dheepan,2015,6.57717,4801
39157,Niewysłany list,Neotpravlennoye pismo,1959,7.2926,311
470521,Moje Winnipeg,My Winnipeg ,2007,7.33588,1310
668827,A Master Builder,A Master Builder,2013,4.43529,85
908,Anioł zagłady,El ángel exterminador,1962,7.55043,7783
96582,Błędny ognik,Le feu follet,1963,7.53816,2031
726490,Kapitan Marvel,Captain Marvel,2019,6.68187,113543
126019,Dziewczyna Gregory'ego,Gregory's Girl,1980,6.93496,123
273584,Drzewo życia,The Tree of Life,2011,5.80447,38593
30388,Malèna,Malèna,2000,7.34607,80527
37034,Czekam na ciebie w Laramie,"Gas, Food Lodging",1992,6.70443,203
1455,La Strada,La Strada,1954,7.80231,21680
96896,Wózek dziecięcy,Barnvagnen,1963,6.44295,149
229543,Muzykanci,Muzykanci,1960,7.27842,2252
32394,Ucieczka skazańca,Un condamné à mort s'est échappé ou Le vent souffle où il veut,1956,7.45284,3191
32326,Intymne oświetlenie,Intimní osvětlení,1965,7.05178,869
558338,Take This Waltz,Take This Waltz,2011,6.82098,17367
98295,Mishima,Mishima: A Life in Four Chapters,1985,7.46949,967
578577,Na zawsze Laurence,Laurence Anyways,2012,7.34992,13729
30990,Martwica mózgu,Braindead,1992,6.84765,43143
31566,Ucieczka nawigatora,Flight of the Navigator,1986,6.58966,1896
1058,Fortepian,The Piano,1993,7.78399,53251
555243,Boy,Boy,2010,7.25451,7764
707286,Co robimy w ukryciu,What We Do in the Shadows,2014,7.2291,82878
8091,Niebiańskie istoty,Heavenly Creatures,1994,6.99066,12958
129817,Dziennik złodzieja z Shinjuku,Shinjuku Dorobō Nikki,1968,5.99422,173
847549,Johnny,Johnny,2022,7.58117,83660
16,Blask,Shine,1996,7.85068,11231
1237,Misery,Misery,1990,7.59567,171702
10011968,Godland,Vanskabte Land,2022,6.85533,3947
10531,Kryjówka Białego Węża,The Lair of the White Worm,1988,5.83768,1343
212889,Kobieta znad jeziora,Onna no mizûmi,1966,7.32911,158
107754,Maboroshi no Hikari,Maboroshi no Hikari,1995,7.4375,576
164980,Stary młyn,The Old Mill,1937,7.33618,821
34795,The Tracker,The Tracker,2002,7.12931,116
335332,Samsara,Samsara,2011,8.15382,37155
863,1900: Człowiek legenda,La leggenda del pianista sull'oceano,1998,7.92777,30404
376703,Deadlock,Deadlock,1970,6.52288,153
181583,Propozycja,The Proposition,2005,7.14427,7978
109452,Withnail i ja,Withnail & I,1987,7.28204,3542
696196,Makbet,Macbeth,2015,6.54644,43092
493635,Królestwo zwierząt,Animal Kingdom,2010,6.874,16484
105722,Mikey i Nicky,Mikey and Nicky,1976,7.17433,935
1043,Tootsie,Tootsie,1982,7.45561,29942
5153,Nie oglądaj się teraz,Don't Look Now,1973,6.69399,7441
7487,Szalony pies Morgan,Mad Dog Morgan,1976,6.08525,305
226856,Małe dzieci,Little Children,2006,7.17096,31774
756406,Był sobie pies,A Dog's Purpose,2017,7.73383,69282
210898,Babel,Babel,2006,7.39076,173999
382375,"Jedz, módl się, kochaj",Eat Pray Love,2010,6.20959,84805
595266,El Infierno,El Infierno,2010,6.79044,544
11679,Wielki sen,The Big Sleep,1946,7.70762,9703
31040,Amores perros,Amores perros,2000,7.75389,71406
138762,Moloch i marionetki,Kyojin to gangu,1958,6.31148,61
859404,Baby Broker,Beurokeo,2022,6.71674,5758
38727,Zmruż oczy,Zmruż oczy,2003,6.79384,33731
165268,Wanda,Wanda,1970,6.84795,342
8708,Po godzinach,After Hours,1985,7.38401,12820
185452,Wujek Yanco,Oncle Yanco,1967,7.20398,201
162040,Kolacja z Andrzejem,My Dinner with André,1981,7.81595,1918
4439,Candy,Candy,1968,5.1588,233
624742,7 psychopatów,Seven Psychopaths,2012,6.65877,67543
