serialId,polishTitle,originalTitle,year,fullRating,voteCount,voteDate,userRating,favorite,comment
171025,Odlotowe wyścigi,Wacky Races,1968,7.22856,3312,2001-11-26,,nie,
175786,Pinky i Mózg,Pinky and the Brain,1995,7.29854,22071,2001-07-26,,nie,
117492,Struś Pędziwiatr,The Road Runner Show,1966,7.53672,11248,2001-07-24,,nie,
96106,Kacze opowieści,DuckTales,1987,7.53677,15068,2001-06-26,,nie,
194738,Scooby-Doo,The Scooby-Doo/Dynomutt Hour,1976,7.22276,9638,2001-06-24,,nie,
96125,Lucky Luke,Lucky Luke,1984,6.97439,5897,2001-06-24,,nie,
161236,Teletubisie,Teletubbies,1997,3.77285,3786,2001-06-20,,nie,
229032,Szczenięce lata Toma i Jerry'ego,Tom and Jerry Kids Show,1990,6.60189,4971,2001-06-20,,nie,
117482,Tom i Jerry,Tom and Jerry,1940,7.69328,41376,2001-06-19,,nie,
104051,"Ed, Edd i Eddy","Ed, Edd, 'n' Eddy",1999,6.78536,22778,2001-06-18,,nie,
104639,Chojrak - tchórzliwy pies,Courage the Cowardly Dog,1999,7.43385,27424,2001-06-17,,nie,
469399,Myszka Miki i przyjaciele,Mickey Mouse and His Friends,1994,7.23769,2966,2001-06-16,,nie,
143644,The Bugs Bunny and Tweety Show,The Bugs Bunny and Tweety Show,1986,7.36765,136,2001-05-16,,nie,
217232,Zwariowane Melodie,Merrie Melodies: Starring Bugs Bunny and Friends,1990,7.96638,36527,2001-04-23,,nie,
96174,Johnny Bravo,Johnny Bravo,1997,7.28392,34126,2001-04-18,,nie,
218667,Sylvester i Tweety na tropie,The Sylvester & Tweety Mysteries,1995,6.98797,2577,2001-03-28,,nie,
117478,The Porky Pig Show,The Porky Pig Show,1964,7.14583,96,2001-03-24,,nie,
99774,Power Rangers,Mighty Morphin Power Rangers,1993,5.54779,12784,2001-03-05,,nie,
140452,Rodzina Addamsów,The Addams Family,1992,7.11209,1927,2001-02-10,,nie,
140372,Taz-Mania,Taz-Mania,1991,6.49829,875,2001-02-03,,nie,
96131,Popeye,Popeye the Sailor,1960,6.96239,3749,2001-01-17,,nie,
247313,The Bugs n' Daffy Show,The Bugs n' Daffy Show,1996,6.75,20,2000-11-25,,nie,
104704,Atomówki,The Powerpuff Girls,1998,6.49577,21294,2000-08-19,,nie,
126018,Krowa i Kurczak,Cow and Chicken,1995,6.41598,14621,2000-07-19,,nie,
121831,Spider-Man,Spider-Man,1994,7.78939,15588,2000-07-16,,nie,
98032,Reksio,Reksio,1967,7.15355,15891,2000-06-26,,nie,
442479,Kaczor Donald przedstawia,The Donald Duck Show,1983,7.62315,2359,2000-03-18,,nie,
