medium,filmwebId,polishTitle,originalTitle,year,userRating,viewDate,comment
film,868027,Norka,Burrow,2020,7,20211002,"Bardzo przyjemna animacja, choć mam wrażenie, że jednak bez niczego głębszego choć bardzo fajnie się ogląda"
film,4401,Byłem żołnierzem,Byłem żołnierzem,1970,8,20210506,"Po części, dosyć ciężki, ale świetny koncept"
film,4406,Dawno temu na Dzikim Zachodzie,C'era una volta il West,1968,9,20201104,"Rewelacyjny klimat, koherentna fabuła, wszystko się zgadza i jest git"
film,850352,C'mon C'mon,C'mon C'mon,2021,7,20220226,"Pod płaszczykiem znakomitej gry aktorskiej i naprawdę obiecujących kwestii dostajemy dosyć sztandarową choć i lepszą kwestę wycinku życia, która tyć przynudza."
film,807622,Kafarnaum,Cafarnaúm,2018,9,20201130,"Ciężki, brudny realizm, ujęty w niezbyt wyrafinowanej reżyserii, ale przesiąkający treścią jak mało co"
film,774846,Wodna droga,Camino de agua para un pez,2016,7,20210404,"Ładna animacja, choć bez jakichś fajerwerków scenariuszowych"
film,865994,Płótno,Canvas,2020,5,20201212,"Niezłe światło, ale historia bez fajerwerków, nic odkrywczego, nic w zasadzie bardzo ciekawego"
film,848831,Carmen Sandiego: Kraść albo nie kraść,Carmen Sandiego: To Steal or Not to Steal,2020,5,20210124,Zbyt ukierunkowane na zbyt wyświechtane decyzje
film,104249,Carne,Carne,1991,7,20210320,Ciężki klimat ale wykonanie dobre.
film,120749,Auta,Cars,2006,7,20210624,"Bardzo przeciętnie się zaczyna i nie odpala zbyt długo, ale w końcu się udaje wyrwać z marazmu i ogląda się koniec końców naprawdę dobrze!"
film,478475,Auta 2,Cars 2,2011,8,20210625,"Step-up w porównaniu do 1ki, więcej contentu, więcej kulturowej immersji i nawiązań, ogląda się świetnie i bardzo przyjemnie"
film,711933,Auta 3,Cars 3,2017,8,20210626,"Znacznie poważniejszy w porównaniu do poprzedników, z solidną bazą emocjonalną, techniczną i merytoryczną, choć miałem wrażenie, że zbyt prostu uderzył"
film,702698,Castello Cavalcanti,Castello Cavalcanti,2013,7,20210214,Porządny short z andersonowską finezją
film,612189,Chappie,Chappie,2015,8,20221109,"Szczerze mówiąc, niesamowity - fantastyczne CGI, gra aktorska i wątek Chappie, który totalnie został w sposób wręcz piękny wyeksploatowany."
film,838074,Skromni bohaterowie: Krótkie filmy Studia Ponoc,Chiisana Eiyū: Kani to Tamago to Tōmei Ningen,2018,5,20210103,"Technicznie rewelacyjnie, ale historyjki tak bardzo tendencyjne, że aż szkoda, że je wzięli na warsztat"
film,832227,Child,Child,2016,10,20201124,"Artystycznie bezbłędny, fantastyczna praca kamery, praktycznie poezja, która hipnotyzuje przez calutki seans"
film,167500,Chilsu i Mansu,Chilsu wa Mansu,1988,7,20230820,Klimatyczny z naprawdę porządną końcówką
film,199948,Kronika jednego lata,Chronique d'un été,1961,8,20250807,Ma swoje bardzo fajne momenty
film,511,Chungking Express,Chung Hing sam lam,1994,8,20210623,"Przerost czegoś nad czymś czamczymś, niby piękny, ale za bardzo, niby o czymś, a trochę się rozwleka donikąd, ale koniec końców, doprowadza dokądś."
film,857962,Chłopi,Chłopi,2023,9,20230919,"Wizualna uczta podbita jest fabułą, która jest mocna, solidna i zaadaptowana wręcz fantastycznie biorąc pod uwagę nudny pierwowzór. Zaskakująco uniwersalny."
film,31693,Światła wielkiego miasta,City Lights,1931,7,20201126,"Koncept niezły, ale ostatecznie punkt ciężkości leży w komedii, co nieco odciąża potencjał motywu, z którego można było wycisnąć zdecydowanie więcej"
film,394386,Klopsiki i inne zjawiska pogodowe,Cloudy with a Chance of Meatballs,2009,5,20201211,"Ma swoje śmieszne momenty, ale stylistyka mi totalnie nie podeszła, a archetypy postaci są zbyt stereotypowe i fabuła zbyt oczywista"
film,31609,Słodkie zmartwienia,Clueless,1995,7,20221017,"Śmieszny, w taki dosyć nawet często wyrafinowany sposób :)"
film,876373,Kokainowy miś,Cocaine Bear,2023,5,20230226,"Fabuła zbyt rozlazła, a szkoda bo w sumie technicznie to całkiem porządnie było zrealizowane"
film,563824,Colorful,Colorful,2010,8,20220106,"Rozciągana ta fabuła ostro, ale trzymana w ostrych ryzach realizmu, na swój sposób piękny i przykry seans, z technicznym wręcz bezbłędnym rezonansem."
film,184151,Koralina i tajemnicze drzwi,Coraline,2009,7,20210403,"Nawet daje radę, jako pewnego rodzaju spin-off alicji w krainie czarów, ale niczym szczególnym w zasadzie nie zachwyca, choć robota porządna."
film,118497,Gnijąca panna młoda,Corpse Bride,2005,8,20201001,"Podobała mi się bardziej ta inna animacja burtona, ale ta tutaj błyska częstokroć, fajne lapsusy językowe, sama jakość animacji też bardzo wysokich lotów"
film,842857,Cousin Ben Troop Screening with Jason Schwartzman,Cousin Ben Troop Screening with Jason Schwartzman,2012,6,20210214,Niezły ale krótki
film,832782,Cowboy Bebop PV: Don't Bother None,Cowboy Bebop PV: Don't Bother None,2012,6,20210425,"Nawet ujdzie, choć bez niczego ambitniejszego"
film,34454,Kowboj Bebop: Pukając do nieba bram,Cowboy Bebop: Tengoku no Tobira,2001,8,20170215,"Zachowuje ducha serialu, podbijając gdzieniegdzie trzeba i wprowadzając oryginalny wątek, który ma swoje mocniejsze i słabsze cząsteczki"
film,112803,Ratujmy nasz klub,Crackerjack,2002,8,20210124,"Zaskakująco dobry, rzetelnie australijski, porządnie napisany, dla mnie perełka"
film,870583,Creed III,Creed III,2023,7,20230319,"Dobrze zrealizowane kino, które fajnie się ogląda z dużą ilością popcornu i coli."
film,754536,Cruella,Cruella,2021,6,20210608,"Niby wiele wyszło sprawnie, w tym ukazanie świata mody, całkiem niezła charakteryzacja, ale zbyt wszystko wyszło pop, do przewidzenia i w sumie to bez szału."
film,117074,Czar kółek,Czar kółek,1966,7,20201015,Bardzo interesujący wizualnie
film,551232,Czarny Czwartek. Janek Wiśniewski padł,Czarny Czwartek. Janek Wiśniewski padł,2011,6,20230121,"Taki dramacik w sumie, troszeczkę bardziej historyczny, aktorsko naprawdę niezłe momenty, ale sam w sobie film niczym większym nie jest"
film,10004734,DC Liga Super-Pets,DC League of Super-Pets,2022,5,20221107,"Problemem jest, że po prostu nudą wieje, dużo contentu, który jest zwykłą zapchaj dziurą i na siłę tworzona jakaś akcja, która nawet daje radę ale nie ratuje."
film,107201,Miecz zagłady,Dai-bosatsu tôge,1966,8,20240118,"Dosyć siermiężna większość filmu przyćmiona zostaje przez kilka śnieżnych sekwencji i finał, który jakoby finałem nie jest, jest niesamowitą sekwencją."
film,657859,Witaj w klubie,Dallas Buyers Club,2013,8,20230311,"Realizacja znakomita, zdjęcia i gra aktorska, w szczególności chyba jednak ta gra aktorska i ogląda się dobrze, pomimo dosyć podmokłej tematyki."
film,841522,Tańcząc z ptakami,Dancing with the Birds,2019,8,20210911,"Bardzo fajna gradacja produkcji, styl bardzo podobny do Planet Earth, ukazujący stopniowo piękno"
film,625624,Taniec serpentyn,Danse Serpentine,1896,,20210512,"Huh, ciekawa gra kolorami"
film,678090,Dareka no Manazashi,Dareka no Manazashi,2013,6,20210625,Troszeczkę standardowa historyjka bez niczego co by mocniej zaskoczyło ale wykonanie daje radę
film,695022,Das Begräbnis des Harald Kramer,Das Begräbnis des Harald Kramer,2013,8,20201124,"Lubię gdy w animacji jest coś trochę więcej niż czysto sama animacja, choć oczekiwałem lepszego finiszu"
film,1289,Okręt,Das Boot,1981,8,20210921,"Wiele elementów zasługuje tutaj na najwyższe walory, całość balansuje non-stop i osiąga wyżyny, choć brakuje jakiejś takiej kropki nad i."
film,220407,Das Boxende Känguruh,Das Boxende Känguruh,1895,,20210511,"O, wreszcie coś z motywem z antypodów :D"
film,10031652,Pokój nauczycielski,Das Lehrerzimmer,2023,9,20250114,Kuloodporny scenariusz
film,850417,David Attenborough: Życie na naszej planecie,David Attenborough: A Life On Our Planet,2020,8,20201028,"Na dłuższą metę, brakowało mi dbałości o szczegóły i detale, ot choćby nawet audio-wizualne, myślę że można było stworzyć ciekawszy końcowy statement życia"
film,34740,Dzień żywych trupów,Day of the Dead,1985,6,20221016,"Fajny wątek buba, znakomicie wykonany, trochę się jednak zestarzał."
film,212479,Dead Leaves,Dead Leaves,2004,7,20220709,"No cóż, jeździ na takim haju, że ciężko wykminić tak do końca co się dzieje w tym dobrym sensie, seans najlepiej do obejrzenia w grupie"
film,868513,Deadpool & Wolverine,Deadpool & Wolverine,2024,8,20240727,"No, udało im się :)"
film,760429,Był sobie Deadpool,Deadpool 2,2018,8,20180520,"Trochę przeciążony, ale całkiem satysfakcjonujący."
film,797479,Droga koszykówko,Dear Basketball ,2017,7,20220102,Bardzo wysoka jakość animacji
film,219933,Grindhouse: Death Proof,Death Proof,2007,6,20230527,"Dosyć ezoteryczny miks, bardzo fajnie napisane dialogi, które w sumie donikąd szczególnie nie prowadzą - quasi-feel good movie, który nie jest taki fajny."
film,866642,"Giń, 2020!",Death to 2020,2020,7,20210112,"Całkiem niezłe diagnozy podrzuca i widać sporo brookera, ale trochę się scenariusz rozjeżdża w stronę nudy i stronniczości, choć dla lepszych części warto."
film,805646,Deep Dance,Deep Dance,2014,8,20201203,"Kolejne eyecandy, chociaż w tym wszystkim brakowało mi dodatkowej wartości merytorycznej, to jednak widowisko było naprawdę niezłe"
film,4968,Na samym dnie,Deep End,1970,7,20240603,"Zamysł bardzo niezły ale wykonanie raczej ułomne, trochę brakuje jakiegoś nacisku na ukierunkowanie fabularnie bądź sklejanie samych bohaterów"
film,32727,Dekalog I,Dekalog I,1988,8,20210426,"Tematycznie zdecydowanie bardzo dobry, ale technicznie również bardzo suchy, przy okazji nie penetruje zbyt głęboko treści przedstawionych niestety"
film,32728,Dekalog II,Dekalog II,1988,7,20210427,"Jeszcze bardziej suche niż I, choć z niezłymi momentami, lecz naprawdę zbyt tendencyjny typ kinematografii podburza fundamenty"
film,4976,Dekalog III,Dekalog III,1988,9,20210428,"Wreszcie coś bardziej kreatywnego, rewelacyjna i dosyć piękna reżyseria i gra światłami, scenariusz wciąż trochę suchy, ale wykonanie robi krok naprzód w III ep"
film,12218,Dekalog IV,Dekalog IV,1988,9,20210502,"Gra subtelnościami odpala całość stylistycznie i merytorycznie, z twistem, który jest wyczerpująco wyeksplorowany i fenomenalnie adaptuje kontekst 4 przykazania"
film,32734,Dekalog IX,Dekalog IX,1988,9,20210510,"Najbardziej kompletny odcinek, niesamowicie dużo konceptów napchane, zdecydowane wyżyny reżyserskie, merytorycznie to światowa czołówka"
film,4977,Dekalog V,Dekalog V,1988,10,20210503,"Coś niesamowitego się w tym filmie dzieje z reżyserią i kinematografią, wszystko ma swoje miejsce i pod ostrą krytyką wystawiony jest cały przekrój wszystkiego."
film,36677,Dekalog VI,Dekalog VI,1988,8,20210505,"Niezły koncept, ale troszkę bez szału to wszystko, choć niezły koncept i porządne wykonanie"
film,32730,Dekalog VII,Dekalog VII,1988,9,20210508,"Twist konceptu to mistrzostwo świata, balansowanie między relacjami ludzkimi i progresja fabularna w połączeniu ze świetną reżyserią momentami wręcz poraża"
film,4978,Dekalog VIII,Dekalog VIII,1988,10,20210509,"Naszpikowany nawiązaniami na kompletnie światowym poziomie, atmosfera gęsta, że aż gryźć można, bardzo ciężki, choć naturalny odcinek, wszystko ma w nim miejsce"
film,4979,Dekalog X,Dekalog X,1988,7,20210512,"Pomimo, że całkiem nieźle podchodzi do zagadnienia i rozwija się nieźle, to brakuje w tym wszystkim jakiejś szczególnej finezji, która się przewijała w reszcie."
film,110650,Destino,Destino,2003,6,20211002,"Fajnie się zaczął, ale uważam, że technicznie niedomaga i do samych dzieł Salvadora Dali się nie umywa"
film,1454,Siódma pieczęć,Det sjunde inseglet,1957,8,20211231,Techniczne problemy i nieco mało dodające do fabuły kwestie trochę przyćmiewają całkiem porządnie zrealizowany koncept
film,7474,M jak morderstwo,Dial M for Murder,1954,7,20211231,Sztandarowy kryminał bez większych niespodzianek i bez mniejszych problemów
film,1271,Szklana pułapka 2,Die Hard 2,1990,6,20200916,"Niezły, ale ilość wymuszonych gagów i nierówne tempo trochę denerwują"
film,499090,Nosorożec,Die Nashörner,1963,9,20201002,"Trochę niespójne, ale z kolei bardzo treściwe, w szczególności pierwsza połowa"
film,815093,Dilili w Paryżu,Dilili à Paris,2018,5,20210302,Kiepski styl animacji dodatkowo pogrąża mdła fabuła. Coś tam stara się błyskać ale na dalszą metę nie jest to warte zachodu kino.
film,611898,Niedziela,Dimanche,2011,7,20210404,"Niezła animacja, choć bez szczególnych fajerwerków"
