Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7805,Pale Fire,Vladimir Nabokov,"Nabokov, Vladimir",,"=""""","=""""",2,Penguin Books Ltd,Paperback,246,2000,1962,2020/05/30,2020/05/20,,,read,,,,1,0
76171,We,Yevgeny Zamyatin,"Zamyatin, Yevgeny",Clarence Brown,"=""0140185852""","=""9780140185850""",3,Penguin Books,Paperback,256,1993,1924,2020/05/24,2020/05/24,,,read,,,,1,0
15581,Ferdydurke,Witold Gombrowicz,"Gombrowicz, Witold","Danuta Borchardt, Susan Sontag","=""0300082401""","=""9780300082401""",2,Yale University Press,Paperback,320,2000,1937,,2020/05/20,,,read,,,,1,0
4900,Heart of Darkness,Joseph Conrad,"Conrad, Joseph",,"=""1892295490""","=""9781892295491""",4,Green Integer Books,Paperback,188,2003,1899,2013/01/01,2020/05/20,,,read,,,,1,0
1905025,Granica,Zofia Nałkowska,"Nałkowska, Zofia",,"=""8373840826""","=""""",2,Wydawnictwo Dolnośląskie,Hardcover,327,2004,1935,,2020/05/20,,,read,,,,1,0
2696239,Ludzie bezdomni,Stefan Żeromski,"Żeromski, Stefan",,"=""8304022958""","=""9788304022959""",0,Greg,Hardcover,255,1987,1900,,2020/05/20,,,read,,,,1,0
168696,In Desert and Wilderness,Henryk Sienkiewicz,"Sienkiewicz, Henryk","Nikolaj Omersa, France Vodnik, Max A. Drezmal","=""1589636147""","=""9781589636149""",0,Fredonia Books (NL),Paperback,460,2001,1911,2006/01/01,2020/05/20,,,read,,,,1,0
516175,The Wedding,Stanisław Wyspiański,"Wyspiański, Stanisław","Noel Clark, Jerzy Peterkiewicz","=""1840020415""","=""9781840020410""",0,Oberon Books,Paperback,168,1999,1901,,2020/05/20,,,read,,,,1,0
203023,Tango,Sławomir Mrożek,"Mrożek, Sławomir",,"=""""","=""9788373922846""",0,Noir Sur Blanc,Paperback,208,2011,1968,,2020/05/20,,,read,,,,1,0
3221687,Kamienie na szaniec,Aleksander Kamiński,"Kamiński, Aleksander",,"=""8310108893""","=""""",0,Nasza Księgarnia,Paperback,230,2003,1943,,2020/05/20,,,read,,,,1,0
24213,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"Carroll, Lewis","Martin Gardner, John Tenniel","=""""","=""""",3,Penguin Group (USA),Paperback,239,2000,1871,2020/05/20,2019/11/23,,,read,,,,1,0
24830,The Illustrated Man,Ray Bradbury,"Bradbury, Ray",,"=""000712774X""","=""9780007127740""",4,Voyager Classics / Harper Collins,Paperback,186,2002,1951,2019/10/12,2019/09/10,,,read,,,,1,0
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,"=""""","=""""",3,Penguin,Paperback,368,1995,1955,2018/12/27,2018/12/26,,,read,"Wonderfully written, especially and predominantly as for the first half of the book; as a whole it feels complete but I just don't see too much value in it. Most of it is well constructed but apart from revolving around a taboo as a centerpoint it just does not deliver anything above what a typical novel should and does.",,,1,0
7613,Animal Farm,George Orwell,"Orwell, George","Ann Patchett, Téa Obreht","=""""","=""""",0,Plume,Paperback,129,2003,1945,,2018/10/23,currently-reading,currently-reading (#1),currently-reading,,,,1,0
1876528,Inny świat,Gustaw Herling-Grudziński,"Herling-Grudziński, Gustaw",,"=""8308032303""","=""9788308032305""",3,Wydawnictwo Literackie,Paperback,355,2002,1951,,2018/10/23,,,read,,,,1,0
